,amount,floor_number,rooms_number,size,month,year,Wartość
390,419699.0,3,1,29.0,10,2025,2.799999999999997
391,585877.0,7,2,40.21,10,2025,2.799999999999997
392,575958.0,5,2,40.37,10,2025,2.799999999999997
393,601293.0,1,2,44.59,10,2025,2.799999999999997
394,730057.1,7,2,46.43,10,2025,2.799999999999997
395,850643.0,7,3,59.71,10,2025,2.799999999999997
396,795730.0,3,3,59.9,10,2025,2.799999999999997
397,651553.21,6,2,42.99,10,2025,2.799999999999997
398,690103.03,6,2,43.81,10,2025,2.799999999999997
399,718311.17,6,2,45.73,10,2025,2.799999999999997
400,675719.82,6,2,46.03,10,2025,2.799999999999997
401,873450.17,8,3,62.73,10,2025,2.799999999999997
402,862233.25,6,3,62.87,10,2025,2.799999999999997
403,364392.6,1,1,27.41,10,2025,2.799999999999997
404,545663.14,1,2,37.59,10,2025,2.799999999999997
405,727680.0,4,3,58.15,10,2025,2.799999999999997
406,817465.81,2,2,64.15,10,2025,2.799999999999997
407,1182164.02,4,4,80.47,10,2025,2.799999999999997
408,588862.0,2,2,43.71,10,2025,2.799999999999997
409,583292.0,1,2,41.42,10,2025,2.799999999999997
410,604950.0,5,2,39.55,10,2025,2.799999999999997
411,688806.0,1,3,49.57,10,2025,2.799999999999997
412,674997.68,1,4,51.13,10,2025,2.799999999999997
413,1258137.15,1,5,84.14,10,2025,2.799999999999997
414,500503.0,4,2,39.19,10,2025,2.799999999999997
415,599582.5,5,3,44.33,10,2025,2.799999999999997
416,642620.0,4,2,45.82,10,2025,2.799999999999997
417,1023455.5,1,4,80.25,10,2025,2.799999999999997
418,827255.32,1,3,66.01,10,2025,2.799999999999997
419,468027.0,4,1,26.22,10,2025,2.799999999999997
420,687101.79,4,2,45.79,10,2025,2.799999999999997
421,782126.97,8,3,55.96,10,2025,2.799999999999997
422,417455.0,2,2,28.79,10,2025,2.799999999999997
423,1288669.0,3,5,74.98,10,2025,2.799999999999997
424,897000.0,2,4,84.0,10,2025,2.799999999999997
425,1070000.0,6,3,63.2,10,2025,2.799999999999997
426,585000.0,2,2,38.4,10,2025,2.799999999999997
427,625047.87,5,2,46.13,9,2025,2.9000000000000057
428,630999.79,2,3,47.59,9,2025,2.9000000000000057
429,640659.43,4,2,47.7,9,2025,2.9000000000000057
430,690328.17,4,3,51.09,9,2025,2.9000000000000057
431,771746.02,4,3,61.28,9,2025,2.9000000000000057
432,847043.04,6,3,67.54,9,2025,2.9000000000000057
433,416438.35,5,1,28.54,9,2025,2.9000000000000057
434,1111129.2,6,4,89.96,9,2025,2.9000000000000057
435,530799.45,2,2,39.54,9,2025,2.9000000000000057
436,579071.36,5,2,42.84,9,2025,2.9000000000000057
437,1083808.85,2,4,85.43,9,2025,2.9000000000000057
438,767158.63,8,3,65.94,9,2025,2.9000000000000057
439,665587.0,1,2,42.37,9,2025,2.9000000000000057
440,536836.5,2,2,43.31,9,2025,2.9000000000000057
441,491043.4,1,2,38.31,9,2025,2.9000000000000057
442,397545.0,3,1,31.22,9,2025,2.9000000000000057
443,443159.0,2,2,36.69,9,2025,2.9000000000000057
444,499500.0,3,2,41.13,9,2025,2.9000000000000057
445,543217.67,1,2,38.6,9,2025,2.9000000000000057
446,702018.05,2,3,58.69,9,2025,2.9000000000000057
447,374000.0,4,1,26.38,9,2025,2.9000000000000057
448,396486.34,3,1,27.73,9,2025,2.9000000000000057
449,361987.86,2,1,27.78,9,2025,2.9000000000000057
450,401903.9,1,1,29.54,9,2025,2.9000000000000057
